Row Labels,Min of Effective_Start_Date__c,Max of Effective_End_Date__c,Max of Effective_Start_Date__c,Current State,placeholder
0013a00001bqlJGAAY,9/25/2019,4/23/2021,4/24/2020,Renewable,1
0013a00001bqlk7AAA,7/30/2019,7/30/2022,7/30/2019,Renewable,1
0013a00001bqlkHAAQ,7/29/2019,8/20/2022,7/29/2019,Renewable,1
0013a00001bqlQMAAY,11/30/2018,,11/30/2018,Evergreen,0
0013a00001bqlWPAAY,7/30/2019,7/30/2022,7/30/2019,Renewable,1
0013a00001bqm7KAAQ,10/18/2018,,10/18/2018,Evergreen,0
0013a00001bqmEVAAY,10/24/2017,9/22/2022,9/23/2019,Renewable,1
0013a00001bqmH5AAI,9/20/2017,,9/20/2017,Evergreen,0
0013a00001bqmnEAAQ,8/3/2017,,8/3/2017,Evergreen,0
0013a00001bqn5oAAA,11/18/2016,9/17/2022,1/12/2021,Renewable,1
0013a00001bqneaAAA,8/16/2016,,8/16/2016,Evergreen,0
0013a00001bqnfYAAQ,7/25/2019,7/25/2022,12/11/2020,Renewable,1
0013a00001bqnH2AAI,4/3/2018,,4/3/2018,Evergreen,0
0013a00001bqnI0AAI,3/28/2018,11/26/2022,11/27/2021,Renewable,1
0013a00001bqnj6AAA,7/24/2019,7/24/2024,7/25/2021,Renewable,1
0013a00001bqnJwAAI,7/22/2019,,7/22/2019,Evergreen,0
0013a00001bqnNPAAY,2/22/2016,10/4/2019,2/22/2016,Evergreen,0
0013a00001bqNqrAAE,7/11/2016,,7/11/2016,Evergreen,0
0013a00001bqNthAAE,8/15/2019,8/14/2022,8/15/2019,Renewable,1
0013a00001bqoACAAY,7/22/2019,7/21/2020,7/22/2019,Renewable,1
0013a00001bqoI1AAI,3/28/2019,3/27/2022,3/28/2019,Renewable,1
0013a00001bqoJnAAI,7/26/2019,7/25/2022,10/26/2020,Renewable,1
0013a00001bqovSAAQ,11/21/2019,11/20/2022,11/27/2019,Renewable,1
0013a00001bqp0cAAA,7/26/2019,4/25/2020,7/26/2021,Renewable,1
0013a00001bqp1zAAA,10/22/2017,,10/22/2017,Evergreen,0
0013a00001bqP5pAAE,6/1/2017,,6/1/2017,Evergreen,0
0013a00001bqp7JAAQ,10/10/2018,8/9/2023,6/28/2021,Renewable,1
0013a00001bqPbfAAE,11/23/2018,4/22/2021,4/23/2021,Evergreen,0
0013a00001bqqmjAAA,3/23/2021,3/22/2022,3/23/2021,Renewable,1
0013a00001bqQr5AAE,6/12/2018,3/11/2020,6/12/2018,Evergreen,0
0013a00001bqquTAAQ,4/6/2018,,12/22/2020,Evergreen,0
0013a00001bqqVIAAY,2/20/2018,,2/20/2018,Evergreen,0
0013a00001bqqx3AAA,10/17/2017,5/16/2023,5/17/2021,Renewable,1
0013a00001bqrvlAAA,6/8/2017,4/3/2020,6/8/2017,Evergreen,0
0013a00001bqsakAAA,2/6/2017,,2/6/2017,Evergreen,0
0013a00001bqsdtAAA,8/15/2019,8/15/2022,8/15/2019,Renewable,1
0013a00001bqsFJAAY,8/22/2018,9/25/2020,8/22/2018,Renewable,1
0013a00001bqsgdAAA,4/3/2018,1/1/2024,1/2/2021,Renewable,1
0013a00001bqSX7AAM,7/15/2019,7/14/2022,1/20/2021,Renewable,1
0013a00001bqsXpAAI,6/17/2017,3/31/2021,4/1/2021,Evergreen,0
0013a00001bqsYoAAI,8/30/2019,9/22/2022,8/31/2020,Renewable,1
0013a00001bqsZ8AAI,7/23/2019,7/22/2022,7/23/2019,Renewable,1
0013a00001bqT0tAAE,3/19/2019,,3/19/2019,Evergreen,0
0013a00001bqtexAAA,6/10/2015,9/11/2024,9/12/2021,Renewable,1
0013a00001bqtFIAAY,7/12/2017,1/10/2023,1/11/2020,Renewable,1
0013a00001bqtFzAAI,9/10/2018,,9/10/2018,Evergreen,0
0013a00001bqtlPAAQ,7/24/2019,7/23/2022,7/24/2019,Renewable,1
0013a00001bqtNFAAY,9/13/2017,,2/26/2021,Evergreen,0
0013a00001bqtnQAAQ,3/24/2017,,2/17/2021,Evergreen,0
0013a00001bqtrSAAQ,9/16/2019,9/15/2022,9/16/2019,Renewable,1
0013a00001bqtvoAAA,6/5/2018,9/4/2022,6/5/2018,Renewable,1
0013a00001bqUcnAAE,1/22/2018,,3/18/2021,Evergreen,0
0013a00001bquMfAAI,12/21/2018,12/21/2021,12/21/2018,Renewable,1
0013a00001bqv2tAAA,11/11/2016,,3/16/2021,Evergreen,0
0013a00001bqv2ZAAQ,7/29/2019,7/28/2019,7/29/2019,Renewable,1
0013a00001bqvhXAAQ,3/27/2017,,3/27/2017,Evergreen,0
0013a00001bqvIcAAI,7/29/2019,8/15/2024,8/16/2021,Renewable,1
